Customer_ID,Age,Employment_Type,Monthly_Income,Loan_Amount,Credit_Score,Existing_Loans,Missed_Payments,City,Application_Date,Loan_Default
100001,59,1,107404.19,359597.01,594,1,1,2,1454,0
100002,49,0,66686.14,919375.97,602,0,0,4,688,0
100003,35,3,24522.83,135992.51,793,1,1,3,72,1
100004,63,0,36904.59,183844.99,819,1,0,1,1382,0
100005,28,1,21982.99,134632.46,820,3,1,4,250,1
100006,41,2,79640.26,1151541,665,1,0,4,463,0
100007,59,2,46369.02,338010.48,626,1,1,2,205,1
100008,39,2,41098.24,213581.86,756,5,0,5,934,1
100009,43,2,97648.69,508747.77,580,1,1,1,1226,0
100010,31,2,69507.41,420670.62,719,1,0,1,1215,0
100011,31,3,34325.78,264810.19,597,0,4,2,153,0
100012,44,2,78098.4,1119898.74,625,2,1,5,161,1
100013,56,1,73838.81,525762.44,723,5,1,5,985,1
100014,60,3,44732.86,184097.92,724,2,3,5,370,0
100015,44,0,71839.4,1020187.85,558,0,1,2,997,1
100016,23,1,40788.31,150404.83,655,0,1,1,1216,0
100017,42,2,71104.63,796935.45,471,4,1,3,925,0
100018,22,2,79064.81,293908.84,756,2,1,0,1303,0
100019,44,0,66061.79,955033.92,572,0,0,3,605,0
100020,64,2,69015.28,426067.69,752,3,4,3,669,0
100021,50,2,86120.35,423191.3,678,2,1,5,522,0
100022,58,3,50583.1,355720.22,694,6,1,2,205,1
100023,22,1,33271.52,371385.25,569,0,1,1,382,1
100024,41,0,73515.82,939044.07,584,1,2,3,552,1
100025,53,0,84239.68,321080.07,587,0,1,0,339,0
100026,32,0,26581.61,155812.88,809,4,0,5,1378,0
100027,42,2,47665.86,307135.86,709,1,1,2,769,1
100028,64,1,65446.29,245345,592,2,2,2,1102,1
100029,45,2,20379.21,110901.76,720,1,1,4,1114,0
100030,69,2,35165.6,112235.72,629,2,0,0,428,0
100031,47,1,18242.83,98430.42,669,2,3,5,865,1
100032,62,2,110690.27,1364551.34,586,2,3,0,1092,0
100033,48,2,28639.58,404152.7,492,2,1,0,963,0
100034,36,2,30511.5,268407.41,697,3,1,1,1083,1
100035,35,0,83650.22,647632.21,658,0,0,3,1350,1
100036,67,0,67338.53,731052.22,673,2,1,1,401,0
100037,64,2,10463.39,61559.37,728,2,0,5,1205,0
100038,23,2,71997.98,376644.31,566,0,0,1,1107,0
100039,57,0,71879.37,380531.16,717,2,0,2,263,0
100040,27,1,58173.21,365531.15,641,3,2,0,579,1
100041,41,0,32724.02,285981.57,516,2,3,3,325,1
100042,29,1,54022.65,722319.88,822,1,1,2,1290,1
100043,59,0,10000,36991.88,699,2,0,0,1120,0
100044,38,0,51192.79,625688.05,690,0,1,0,638,1
100045,24,2,68961.57,882910.05,661,0,4,1,802,1
100046,45,3,36141.05,530319.37,663,1,0,1,786,1
100047,34,2,13006.28,139200.73,591,3,2,0,1223,0
100048,29,1,109865.51,873790.52,767,2,1,5,1414,0
100049,46,0,65302.95,746569.56,755,1,2,4,852,0
100050,22,2,68261.76,737780.24,698,2,1,3,680,0
100051,40,2,59028,298387.34,705,2,1,2,1213,0
100052,48,1,57448.36,587850.34,734,2,1,1,164,0
100053,67,2,61927.67,749325.49,714,2,1,4,912,0
100054,27,2,48709.51,259703.69,726,1,1,0,184,0
100055,64,2,49465.8,435885.42,695,2,1,0,843,0
100056,28,2,59524.06,761953.98,677,0,2,0,396,1
100057,67,2,16637.52,188623.3,850,1,2,2,554,0
100058,55,2,35433.72,110748.29,797,2,1,3,416,0
100059,34,0,62188.85,899389.6,611,2,2,5,251,1
100060,37,2,99369.89,764340.07,597,0,1,2,1085,1
100061,56,2,120418.06,1680708.9,598,3,1,2,1316,1
100062,60,2,59997.12,423832.79,654,0,1,1,47,1
100063,24,2,38364.35,132131.76,537,2,2,1,514,1
100064,22,2,10000,51641.11,734,0,1,4,455,0
100065,26,3,36709.43,211344.46,526,1,5,4,933,0
100066,62,2,81603.33,919526.49,836,3,3,1,1138,1
100067,24,0,35170.58,452900.71,715,3,2,1,1385,1
100068,49,0,71650.69,839533.25,623,3,0,2,1334,1
100069,38,2,91463.52,831918.81,551,1,2,0,1481,0
100070,46,2,68565.22,611012.25,749,5,0,5,1440,0
100071,64,2,58530.2,179457.58,729,4,1,5,903,0
100072,54,2,79165.61,383821.93,609,2,0,3,1291,0
100073,30,0,71886.44,899943.51,575,2,1,2,478,0
100074,56,2,35799.63,222834.94,614,1,1,0,78,0
100075,34,3,109388.42,613912.26,833,0,1,3,299,0
100076,51,3,41699.2,323930.95,671,0,1,3,1359,0
100077,68,1,10000,59236.91,630,0,0,3,144,1
100078,35,2,31940.6,196248.8,607,2,2,1,749,0
100079,28,2,72916.11,417299.8,639,0,1,3,473,1
100080,34,1,75026.39,665937.45,665,3,2,5,1289,1
100081,43,0,34960.59,246067.35,820,2,1,1,957,1
100082,60,0,92941.48,1195731.99,807,0,1,4,1290,0
100083,41,1,44188.34,414247.69,795,3,2,5,1237,0
100084,36,0,35137.09,233439.39,771,0,3,2,959,0
100085,65,2,83926.55,912620.92,551,2,0,2,1137,0
